"Titre de tracé : 20347223"
"Date";"Heure, GMT+02:00";"Temp., °C (LGR S/N: 20347223, SEN S/N: 20347223)";"Coupleur attaché (LGR S/N: 20347223)";"Hôte connecté (LGR S/N: 20347223)";"Arrêté (LGR S/N: 20347223)";"Fin de fichier (LGR S/N: 20347223)"
2022-07-28;13:02:00;23,388;;;;
2022-07-28;13:02:10;23,292;;;;
2022-07-28;13:02:20;23,388;;;;
2022-07-28;13:02:30;23,581;;;;
2022-07-28;13:02:40;23,581;;;;
2022-07-28;13:02:50;23,677;;;;
2022-07-28;13:03:00;23,773;;;;
2022-07-28;13:03:10;23,966;;;;
2022-07-28;13:03:20;23,869;;;;
2022-07-28;13:03:30;23,484;;;;
2022-07-28;13:03:40;23,677;;;;
2022-07-28;13:03:50;23,484;;;;
2022-07-28;13:04:00;23,677;;;;
2022-07-28;13:04:10;23,966;;;;
2022-07-28;13:04:20;23,677;;;;
2022-07-28;13:04:30;23,677;;;;
2022-07-28;13:04:40;23,677;;;;
2022-07-28;13:04:50;23,677;;;;
2022-07-28;13:05:00;23,484;;;;
2022-07-28;13:05:10;23,388;;;;
2022-07-28;13:05:20;23,388;;;;
2022-07-28;13:05:30;23,196;;;;
2022-07-28;13:05:40;23,196;;;;
2022-07-28;13:05:50;23,292;;;;
2022-07-28;13:06:00;23,196;;;;
2022-07-28;13:06:10;23,196;;;;
2022-07-28;13:06:20;23,292;;;;
2022-07-28;13:06:30;23,292;;;;
2022-07-28;13:06:40;23,196;;;;
2022-07-28;13:06:50;23,292;;;;
2022-07-28;13:07:00;23,484;;;;
2022-07-28;13:07:10;23,196;;;;
2022-07-28;13:07:20;23,100;;;;
2022-07-28;13:07:30;23,004;;;;
2022-07-28;13:07:40;23,004;;;;
2022-07-28;13:07:50;22,908;;;;
2022-07-28;13:08:00;22,908;;;;
2022-07-28;13:08:10;22,908;;;;
2022-07-28;13:08:20;23,196;;;;
2022-07-28;13:08:30;23,388;;;;
2022-07-28;13:08:40;23,100;;;;
2022-07-28;13:08:50;23,100;;;;
2022-07-28;13:09:00;23,004;;;;
2022-07-28;13:09:10;23,100;;;;
2022-07-28;13:09:20;23,100;;;;
2022-07-28;13:09:30;23,004;;;;
2022-07-28;13:09:40;23,388;;;;
2022-07-28;13:09:50;23,100;;;;
2022-07-28;13:10:00;23,196;;;;
2022-07-28;13:10:10;23,100;;;;
2022-07-28;13:10:20;23,677;;;;
2022-07-28;13:10:30;24,062;;;;
2022-07-28;13:10:40;23,966;;;;
2022-07-28;13:10:50;24,158;;;;
2022-07-28;13:11:00;24,351;;;;
2022-07-28;13:11:10;24,158;;;;
2022-07-28;13:11:20;24,062;;;;
2022-07-28;13:11:30;24,062;;;;
2022-07-28;13:11:40;24,545;;;;
2022-07-28;13:11:50;24,545;;;;
2022-07-28;13:12:00;24,448;;;;
2022-07-28;13:12:10;24,738;;;;
2022-07-28;13:12:20;24,835;;;;
2022-07-28;13:12:30;24,351;;;;
2022-07-28;13:12:40;24,448;;;;
2022-07-28;13:12:50;24,351;;;;
2022-07-28;13:13:00;24,255;;;;
2022-07-28;13:13:10;24,255;;;;
2022-07-28;13:13:20;24,158;;;;
2022-07-28;13:13:30;23,966;;;;
2022-07-28;13:13:40;23,966;;;;
2022-07-28;13:13:50;23,966;;;;
2022-07-28;13:14:00;23,773;;;;
2022-07-28;13:14:10;23,677;;;;
2022-07-28;13:14:20;23,388;;;;
2022-07-28;13:14:30;23,581;;;;
2022-07-28;13:14:40;23,581;;;;
2022-07-28;13:14:50;23,484;;;;
2022-07-28;13:15:00;23,484;;;;
2022-07-28;13:15:10;23,484;;;;
2022-07-28;13:15:20;23,484;;;;
2022-07-28;13:15:30;23,388;;;;
2022-07-28;13:15:40;23,388;;;;
2022-07-28;13:15:50;23,292;;;;
2022-07-28;13:16:00;23,292;;;;
2022-07-28;13:16:10;23,484;;;;
2022-07-28;13:16:20;23,196;;;;
2022-07-28;13:16:30;23,100;;;;
2022-07-28;13:16:40;23,484;;;;
2022-07-28;13:16:50;23,677;;;;
2022-07-28;13:17:00;23,677;;;;
2022-07-28;13:17:10;23,869;;;;
2022-07-28;13:17:20;24,062;;;;
2022-07-28;13:17:30;24,062;;;;
2022-07-28;13:17:40;24,158;;;;
2022-07-28;13:17:50;24,448;;;;
2022-07-28;13:18:00;24,641;;;;
2022-07-28;13:18:10;24,835;;;;
2022-07-28;13:18:20;24,931;;;;
2022-07-28;13:18:30;24,835;;;;
2022-07-28;13:18:40;25,125;;;;
2022-07-28;13:18:50;25,222;;;;
2022-07-28;13:19:00;25,028;;;;
2022-07-28;13:19:10;25,028;;;;
2022-07-28;13:19:20;24,738;;;;
2022-07-28;13:19:30;24,255;;;;
2022-07-28;13:19:40;24,255;;;;
2022-07-28;13:19:50;24,545;;;;
2022-07-28;13:20:00;24,641;;;;
2022-07-28;13:20:10;24,351;;;;
2022-07-28;13:20:20;24,158;;;;
2022-07-28;13:20:30;24,641;;;;
2022-07-28;13:20:40;24,835;;;;
2022-07-28;13:20:50;24,835;;;;
2022-07-28;13:21:00;24,738;;;;
2022-07-28;13:21:10;24,641;;;;
2022-07-28;13:21:20;24,545;;;;
2022-07-28;13:21:30;24,448;;;;
2022-07-28;13:21:40;24,448;;;;
2022-07-28;13:21:50;24,448;;;;
2022-07-28;13:22:00;24,448;;;;
2022-07-28;13:22:10;24,351;;;;
2022-07-28;13:22:20;24,255;;;;
2022-07-28;13:22:30;24,158;;;;
2022-07-28;13:22:40;23,869;;;;
2022-07-28;13:22:50;23,581;;;;
2022-07-28;13:23:00;23,388;;;;
2022-07-28;13:23:10;23,292;;;;
2022-07-28;13:23:20;23,292;;;;
2022-07-28;13:23:30;23,581;;;;
2022-07-28;13:23:40;23,677;;;;
2022-07-28;13:23:50;23,677;;;;
2022-07-28;13:24:00;23,581;;;;
2022-07-28;13:24:10;23,581;;;;
2022-07-28;13:24:20;23,484;;;;
2022-07-28;13:24:30;23,581;;;;
2022-07-28;13:24:40;23,484;;;;
2022-07-28;13:24:50;23,484;;;;
2022-07-28;13:25:00;23,388;;;;
2022-07-28;13:25:10;23,388;;;;
2022-07-28;13:25:20;23,388;;;;
2022-07-28;13:25:30;23,388;;;;
2022-07-28;13:25:40;23,388;;;;
2022-07-28;13:25:50;23,388;;;;
2022-07-28;13:26:00;23,388;;;;
2022-07-28;13:26:10;23,484;;;;
2022-07-28;13:26:20;23,388;;;;
2022-07-28;13:26:30;23,292;;;;
2022-07-28;13:26:40;23,292;;;;
2022-07-28;13:26:50;23,388;;;;
2022-07-28;13:27:00;23,388;;;;
2022-07-28;13:27:10;23,388;;;;
2022-07-28;13:27:20;23,292;;;;
2022-07-28;13:27:30;23,292;;;;
2022-07-28;13:27:40;23,292;;;;
2022-07-28;13:27:50;23,292;;;;
2022-07-28;13:28:00;23,292;;;;
2022-07-28;13:28:10;23,292;;;;
2022-07-28;13:28:20;23,292;;;;
2022-07-28;13:28:30;23,677;;;;
2022-07-28;13:28:40;23,677;;;;
2022-07-28;13:28:50;23,869;;;;
2022-07-28;13:29:00;24,351;;;;
2022-07-28;13:29:10;24,158;;;;
2022-07-28;13:29:20;24,158;;;;
2022-07-28;13:29:30;24,255;;;;
2022-07-28;13:29:40;24,545;;;;
2022-07-28;13:29:50;24,158;;;;
2022-07-28;13:30:00;24,255;;;;
2022-07-28;13:30:10;24,062;;;;
2022-07-28;13:30:20;23,773;;;;
2022-07-28;13:30:30;24,158;;;;
2022-07-28;13:30:40;24,062;;;;
2022-07-28;13:30:50;24,062;;;;
2022-07-28;13:31:00;24,062;;;;
2022-07-28;13:31:10;24,062;;;;
2022-07-28;13:31:20;23,773;;;;
2022-07-28;13:31:30;23,677;;;;
2022-07-28;13:31:40;23,773;;;;
2022-07-28;13:31:50;23,773;;;;
2022-07-28;13:32:00;23,966;;;;
2022-07-28;13:32:10;23,966;;;;
2022-07-28;13:32:20;24,062;;;;
2022-07-28;13:32:30;23,966;;;;
2022-07-28;13:32:40;24,062;;;;
2022-07-28;13:32:50;24,062;;;;
2022-07-28;13:33:00;23,966;;;;
2022-07-28;13:33:10;24,062;;;;
2022-07-28;13:33:20;24,158;;;;
2022-07-28;13:33:30;24,255;;;;
2022-07-28;13:33:40;24,351;;;;
2022-07-28;13:33:50;24,448;;;;
2022-07-28;13:34:00;24,545;;;;
2022-07-28;13:34:10;24,641;;;;
2022-07-28;13:34:20;24,835;;;;
2022-07-28;13:34:30;24,835;;;;
2022-07-28;13:34:40;24,835;;;;
2022-07-28;13:34:50;24,835;;;;
2022-07-28;13:35:00;24,931;;;;
2022-07-28;13:35:10;25,028;;;;
2022-07-28;13:35:20;25,028;;;;
2022-07-28;13:35:30;25,028;;;;
2022-07-28;13:35:40;25,028;;;;
2022-07-28;13:35:50;25,125;;;;
2022-07-28;13:36:00;25,028;;;;
2022-07-28;13:36:10;24,931;;;;
2022-07-28;13:36:20;25,125;;;;
2022-07-28;13:36:30;25,125;;;;
2022-07-28;13:36:40;25,125;;;;
2022-07-28;13:36:50;25,125;;;;
2022-07-28;13:37:00;25,125;;;;
2022-07-28;13:37:10;25,125;;;;
2022-07-28;13:37:20;24,931;;;;
2022-07-28;13:37:30;25,222;;;;
2022-07-28;13:37:40;25,125;;;;
2022-07-28;13:37:50;25,222;;;;
2022-07-28;13:38:00;25,222;;;;
2022-07-28;13:38:10;25,222;;;;
2022-07-28;13:38:20;25,125;;;;
2022-07-28;13:38:30;25,319;;;;
2022-07-28;13:38:40;25,319;;;;
2022-07-28;13:38:50;25,319;;;;
2022-07-28;13:39:00;25,319;;;;
